,Country/territory,certified,Unnamed: 2,Country,Alpha-2 code,Alpha-3 code,Numeric code,Latitude (average),Longitude (average),cert_2009,cert_2010,cert_2011,cert_2012,cert_2013,cert_2014,cert_2015,cert_2016,cert_2017,cert_2018,cert_2019,cert_2020,cert_2021
39,Lithuania,2012.0,,Lithuania,LT,LTU,440,56.0,24.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
40,Luxembourg,2012.0,,Luxembourg,LU,LUX,442,49.75,6.1667,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
41,Malta,1963.0,,Malta,MT,MLT,470,35.8333,14.5833,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
42,Monaco,1963.0,,Monaco,MC,MCO,492,43.7333,7.4,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
43,Montenegro,1973.0, ,Montenegro,ME,MNE,499,42.0,19.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0
44,Netherlands,1970.0, ,Netherlands,NL,NLD,528,52.5,5.75,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0
45,Norway,1963.0,,Norway,NO,NOR,578,62.0,10.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
46,Poland,1967.0, ,Poland,PL,POL,616,52.0,20.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0
47,Portugal,1973.0, ,Portugal,PT,PRT,620,39.5,-8.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0
48,"Moldova, Republic of",2012.0,,"Moldova, Republic of",MD,MDA,498,47.0,29.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
49,"Macedonia, the former Yugoslav Republic of",1973.0, ,"Macedonia, the former Yugoslav Republic of",MK,MKD,807,41.8333,22.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0
