Indonesia,IDN,3.29,3.58,3.50,2.67,3.00,2.84,,,2.84
Iran,IRN,2.80,2.80,3.37,3.79,3.96,3.66,3.59,,3.59
Iraq,IRQ,,4.49,4.71,,,,,,
Ireland,IRL,4.88,3.76,3.74,3.51,3.39,,,,3.39
Israel,ISR,5.77,5.86,5.86,6.06,6.11,,,,6.11
Italy,ITA,4.06,4.07,3.82,4.04,4.26,,,,4.26
Jamaica,JAM,6.02,5.46,5.31,5.26,5.41,5.16,5.62,6.03,6.03
Japan,JPN,3.55,,3.15,3.13,3.08,,,,3.08
Jordan,JOR,3.80,3.45,3.45,3.23,2.98,2.99,,,2.99
Kazakhstan,KAZ,3.42,2.79,2.98,2.75,2.62,2.86,,,2.86
Kenya,KEN,4.72,4.74,4.90,4.96,5.11,4.97,5.08,4.80,4.80
Korea (Dem. People’s Rep.),PRK,11.23,9.86,10.09,10.86,11.97,12.39,,,12.39
Korea (Rep.),KOR,,,,,,,,,
Kosovo,-,,,4.33,4.33,4.46,,,,4.46
Kuwait,KWT,4.40,4.77,5.85,6.37,6.39,6.49,6.55,,6.55
Kyrgyzstan,KGZ,5.53,5.99,6.59,6.03,5.55,5.37,,,5.55
Laos,LAO,2.94,,,2.52,2.37,2.30,2.23,,2.23
Latvia,LVA,5.28,5.28,4.66,4.37,4.24,,,,4.24
Lebanon,LBN,2.00,2.10,2.12,2.13,2.52,2.59,,,2.52
Lesotho,LSO,7.20,9.00,7.76,8.16,7.29,7.99,7.67,8.70,8.70
Liberia,LBR,2.20,2.17,2.15,2.66,2.50,2.27,2.31,2.69,2.69
Libya,LBY,,,,,,,,,
Lithuania,LTU,4.49,4.23,4.00,3.81,3.89,,,,3.89
Luxembourg,LUX,3.86,3.77,,3.49,3.65,,,,3.65
Macedonia,MKD,2.05,3.00,3.10,2.71,2.73,3.06,6.30,,6.30
Madagascar,MDG,2.38,2.21,2.69,2.70,2.84,2.99,3.10,,3.10
Malawi,MWI,4.84,5.61,4.75,4.03,3.32,3.71,2.91,,2.91
Malaysia,MYS,5.21,4.89,4.75,4.68,4.48,4.16,3.92,,3.92
Maldives,MDV,3.09,3.89,3.69,3.89,3.91,4.12,,,4.12
Mali,MLI,3.65,3.80,3.09,3.79,3.91,3.48,3.76,,3.76
