,x,y,amount,person,country
0,143.4049932792342,42.6143493089876,1,#17B890,Japan
1,35.31944679113949,1.6671930771627101,3,#17B890,Kenya
2,69.1651197190873,34.19126676753172,1,#d52d1f,Afghanistan
3,7.251564000464967,9.302109275369283,11,#17B890,Nigeria
4,68.96234264490862,28.97287584299558,8,#17B890,Pakistan
5,17.253312926460417,-1.6114328020217865,13,#17B890,"Congo, the Democratic Republic of the"
6,20.879197961430506,3.166001945077813,13,#17B890,"Congo, the Democratic Republic of the"
7,-71.81272751874604,18.319386683310977,1,#d52d1f,Haiti
8,101.06462303616404,38.669388836796685,78,#17B890,China
9,116.73840021924377,36.28634928357833,78,#17B890,China
10,116.74243506695487,45.22092771441052,78,#17B890,China
11,92.32406448277833,37.498242066804806,78,#17B890,China
12,103.16028504367628,-2.449738787201051,21,#17B890,Indonesia
13,35.53898653751405,-19.153720724758433,7,#17B890,Mozambique
14,7.006362027456622,8.980985107254856,11,#17B890,Nigeria
15,-90.20298887653664,31.253431827228518,5,#17B890,United States
16,12.536122776603456,10.499782580860082,11,#17B890,Nigeria
17,39.11992835672897,5.146081999647173,2,#d52d1f,Ethiopia
18,13.922731461048546,-7.129452814437048,2,#17B890,Angola
19,98.26333037089957,32.49483835702755,78,#17B890,China
20,31.2229011909288,-1.2345439277767536,8,#17B890,"Tanzania, United Republic of"
21,81.79847404145026,30.102182339336814,1,#17B890,Nepal
22,74.5852537645311,35.88838829681888,8,#17B890,Pakistan
23,11.009213008591484,47.499252454451565,5,#17B890,Germany
24,129.7620527954055,-3.1360112414641543,21,#17B890,Indonesia
25,97.70249540468393,40.51463528968111,78,#17B890,China
26,20.50471728569396,45.11450984241697,1,#17B890,Serbia
27,-2.9856804522711737,9.434726614785557,5,#17B890,Côte d'Ivoire
28,32.85797079321053,-10.861823025724156,2,#17B890,Zambia
29,43.06594063595638,41.34971106748459,2,#17B890,Turkey
30,-14.009229906951875,10.037662866584414,2,#17B890,Guinea
31,27.439897126791323,42.97657487762361,1,#17B890,Bulgaria
32,36.8251539515816,-9.279220968435826,8,#17B890,"Tanzania, United Republic of"
33,100.14014796353072,30.386292374287613,78,#17B890,China
34,71.97722600263943,34.63585345124231,8,#17B890,Pakistan
35,82.48540533041077,35.775769751239864,78,#17B890,China
36,36.046869096049676,50.58268584390781,4,#17B890,Russian Federation
37,46.258051786432894,6.23659222454156,1,#d52d1f,Somalia
38,-5.915735073878961,8.710793938759998,5,#17B890,Côte d'Ivoire
39,112.50687958924175,23.46619666302347,78,#17B890,China
40,120.68156328470228,15.67572205551176,4,#17B890,Philippines
41,2.334542100575291,11.175072281198442,2,#17B890,Benin
42,7.539703590700155,49.20498430509656,5,#17B890,Germany
43,-66.22180425534052,-12.709520776045474,1,#17B890,"Bolivia, Plurinational State of"
44,113.0957690827422,23.638537569073755,78,#17B890,China
45,-11.263172672704751,9.204988473001544,1,#d52d1f,Sierra Leone
46,49.99763073256132,-14.855108167752878,1,#17B890,Madagascar
47,24.93802142938356,-10.020702167986077,13,#17B890,"Congo, the Democratic Republic of the"
48,-70.9340942913624,-47.85260561845224,1,#17B890,Argentina
49,116.34817752064262,-1.5431576082293876,21,#17B890,Indonesia
50,16.23136254570302,-0.8165432595026028,1,#d52d1f,Congo
51,91.0316711259428,38.528413389925284,78,#17B890,China
52,90.40363434565478,32.15597767649041,78,#17B890,China
53,29.78884191350299,36.50151525151644,2,#17B890,Turkey
54,-4.217074084513183,7.372702411576793,1,#d52d1f,Côte d'Ivoire
55,16.940997199547233,-5.513002955168878,13,#17B890,"Congo, the Democratic Republic of the"
56,78.57143267057853,34.95103168602728,78,#17B890,China
57,107.18775929262226,21.476878932885747,4,#17B890,Viet Nam
58,125.54418546107897,9.536530414362524,4,#17B890,Philippines
59,34.345543450282406,-14.594140248014993,7,#17B890,Mozambique
60,12.646332479128883,11.625076575560938,11,#17B890,Nigeria
61,-99.15688133198276,18.73003203705708,6,#17B890,Mexico
62,-90.92385214030918,18.6652704893923,6,#17B890,Mexico
63,6.611490756381389,8.042539738284393,7,#d52d1f,Nigeria
64,47.55144339281514,37.18651362146514,3,#17B890,"Iran, Islamic Republic of"
65,119.29532997867653,40.33509917157222,78,#17B890,China
66,122.04651386581546,52.088003005448634,78,#17B890,China
67,69.54978098341101,50.46582382290419,2,#17B890,Kazakhstan
68,65.94454375703032,33.90488742124792,9,#17B890,Afghanistan
69,5.333856761084054,10.787948044497439,7,#d52d1f,Nigeria
70,24.71259620544764,-30.051670399802525,6,#17B890,South Africa
71,75.7165515316008,34.795640854435746,1,#d52d1f,Pakistan
72,128.95229664752284,43.98485713588347,78,#17B890,China
73,-4.758752284403422,6.4330390016490435,5,#17B890,Côte d'Ivoire
74,93.6364476086507,23.946584420123813,2,#17B890,Myanmar
75,69.06795994393318,36.601184075619884,9,#17B890,Afghanistan
76,37.12441193856837,-8.509352855061193,8,#17B890,"Tanzania, United Republic of"
77,126.92265874557658,43.66260835728626,78,#17B890,China
78,33.21653892924532,-16.024347172624864,7,#17B890,Mozambique
79,12.698738793256098,3.266955865688641,6,#17B890,Cameroon
80,4.772647774947215,51.48163329890296,1,#17B890,Belgium
81,40.69248043593555,-14.771199809053375,7,#17B890,Mozambique
82,-89.0166442282939,21.0181955781245,6,#17B890,Mexico
83,86.28549590471867,44.02626391293614,78,#17B890,China
84,89.49583614834474,27.714760603448592,1,#17B890,Bhutan
85,132.185530991249,46.72922095918514,78,#17B890,China
86,39.47566192793185,-6.213297949188503,1,#d52d1f,"Tanzania, United Republic of"
87,10.849517329690183,5.581986579725315,1,#d52d1f,Cameroon
88,16.607437998834442,43.912273073660785,1,#17B890,Croatia
89,10.604232873364978,21.830784317063156,7,#17B890,Niger
90,32.60079900214769,-24.59505519621785,7,#17B890,Mozambique
91,9.906410915874773,2.4303131353877934,6,#17B890,Cameroon
92,106.58469213215943,26.516509177626535,78,#17B890,China
93,102.55965366444113,37.76010565365551,78,#17B890,China
94,91.33754666671403,34.90221174646518,78,#17B890,China
95,22.012734045801324,52.94909969927989,3,#17B890,Poland
96,15.365269797859414,-14.814626689456043,2,#17B890,Angola
97,9.895853371752642,3.8615430418580985,6,#17B890,Cameroon
98,19.328438445804267,13.728119470353018,1,#17B890,Chad
99,85.96164146700674,31.189522866373487,78,#17B890,China
100,120.21650358131956,0.5875563083710169,1,#d52d1f,Indonesia
101,-1.5301090241497164,51.04458877068126,1,#17B890,United Kingdom
102,21.948128078926665,11.589528897535729,1,#d52d1f,Chad
103,-74.52918339862747,5.071244108970079,4,#17B890,Colombia
104,110.5479561457701,-7.281905612959852,21,#17B890,Indonesia
