,Unnamed: 0,indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index 2016,happy planet index 2019,human development index 2017,human development index 2021,sustainable economic development assessment (SEDA),GDP growth (annual %) 2018,GDP growth (annual %) latest,GDP ($ USD billions PPP) 2018,GDP ($ USD billions PPP) 2019,GDP ($ USD billions PPP) 2020,GDP ($ USD billions PPP) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,Economic Growth 2018,Economic Growth latest,health expenditure % of GDP 2014,health expenditure % of GDP 2015,health expenditure % of GDP 2016,health expenditure % of GDP 2017,health expenditure % of GDP 2018,health expenditure % of GDP 2019,health expenditure % of GDP 2020,health expenditure % of GDP 2021,health expenditure % of GDP latest,health expenditure per person 2015,health expenditure per person 2018,health expenditure per person 2019,infant mortality,"maternal mortality per 100,000 live births",education expenditure % of GDP 2014,education expenditure % of GDP 2018,education expenditure % of GDP 2021,Education as % of GDP 2018,Education as % of GDP latest,% of primary school aged kids out of school 2018,% of primary school aged kids out of school latest,Unemployment (%) 2018,Unemployment (%) 2021,% of population in extreme poverty,% of population with access to electricity,political rights score 2018,political rights score 2022,civil liberties score 2018,civil liberties score 2021,political stability & absence of violence 2017,political stability & absence of violence 2021,government effectiveness 2017,government effectiveness 2021,regulatory quality 2017,regulatory quality 2021,rule of law 2017,rule of law 2021,control of corruption 2017,control of corruption 2018,judicial effectiveness score 2018,judicial effectiveness score 2022,government integrity score 2018,government integrity score 2022,overall economic freedom score 2017,overall economic freedom score 2022,financial freedom score 2018,financial freedom score 2022,government expenditure (% of GDP),CO2e emissions per capita,share of electricity from renewables generation 2015,share of electricity from renewables generation latest,% of seats held by women in national parliaments 2017,% of seats held by women in national parliaments 2018,% of seats held by women in national parliaments 2021,Military Spending as % of GDP 2021,Military Spending as % of GDP 2019,Country,Alpha-2 code,Alpha-3 code,Numeric code,Latitude (average),Longitude (average),continents,education expenditure % of GDP latest,share of electricity from renewables generation,% of seats held by women in national parliaments
10,10,Bahrain,BHR,1300000,760,,,33.6,0.846,0.875,63.9,3.2,2.23,72.8,74.4,70.7,72.3,47486.0,47224.0,43821.0,45411.0,2.11,2.23,2.47,2.67,2.87,2.32,2.37,2.09,2.15,2.15,2.15,2453.0,994.2,940.4,10.5,14.0,2.5,2.37,2.15,2.37,2.15,1.04,2.34,1.3,1.87,,100.0,2,2,10,10,-0.95,-0.51,0.2,0.7,0.4,0.8,0.45,0.471,-0.14,0.17,55.1,27.4,51.8,41.6,67.7,62.0,80.0,80.0,33.4,20.27,1.3,1.5,7.5,15.0,15.0,3.56,3.70,Bahrain,BH,BHR,48,26.0,50.55,Asia,2.15,1.5,15.0
11,11,Bangladesh,BGD,165000000,130170,32.1,38.4,54.5,0.608,0.661,35.3,6.4,6.94,838.8,904.9,936.1,1001.1,5322.0,5784.0,5995.0,6613.0,7.32,6.94,,,1.54,1.54,1.54,1.33,1.33,1.33,1.33,88.0,41.9,45.9,5.1,173.0,,,1.33,,1.33,,,4.1,5.23,,96.2,19,15,26,24,-1.25,-0.97,-0.7,-0.6,-0.8,-0.8,-0.67,-0.611,-0.83,-0.96,32.6,28.1,21.2,22.2,55.1,52.7,30.0,40.0,13.9,0.56,,3.9,20.3,20.0,21.0,1.27,1.30,Bangladesh,BD,BGD,50,24.0,90.0,Asia,1.33,3.9,21.0
12,12,Barbados,BRB,300000,430,,,,0.8,0.79,60.8,0.5,1.4,4.5,4.4,3.8,3.9,15989.0,16154.0,14046.0,14817.0,-1.03,1.4,6.14,5.38,4.71,4.37,5.43,3.2,3.06,6.45,6.45,1234.0,1164.5,1143.3,9.6,27.0,6.2,5.43,6.45,5.43,6.45,1.61,2.65,11.4,10.41,,100.0,38,38,58,57,0.98,1.12,0.8,0.5,0.5,0.6,0.66,0.375,1.42,1.24,54.4,88.2,53.8,68.7,57.0,71.3,60.0,60.0,45.0,4.36,1.0,3.3,16.7,20.0,20.0,,,Barbados,BB,BRB,52,13.1667,-59.5333,North America,6.45,3.3,20.0
13,13,Belarus,BLR,10000000,202900,26.5,21.7,42.9,0.808,0.808,59.9,-3.9,2.51,179.1,181.6,180.0,184.5,19428.0,20093.0,20238.0,21699.0,3.15,2.51,4.82,4.79,4.95,4.79,5.38,4.98,4.95,4.95,4.95,1085.0,351.0,399.4,10.0,2.0,4.8,5.38,4.95,5.38,4.95,1.3,5.24,0.5,4.74,0.0,100.0,6,2,15,6,0.03,-0.74,-0.4,-0.8,-0.7,-0.9,-0.82,-1.1,-0.26,-0.24,57.3,15.5,42.0,43.7,58.1,53.0,10.0,20.0,41.7,6.12,23.8,29.8,34.5,35.0,40.0,1.16,1.20,Belarus,BY,BLR,112,53.0,28.0,Europe,4.95,29.8,40.0
14,14,Belgium,BEL,11000000,30278,25.9,23.7,42.5,0.916,0.937,77.5,1.4,6.24,584.4,596.7,562.8,598.0,52535.0,54278.0,53070.0,58931.0,1.84,6.24,6.59,6.45,6.46,6.43,6.38,6.38,6.38,6.38,6.38,4782.0,5134.4,4960.4,56.5,5.0,6.6,6.38,6.38,6.38,6.38,0.52,0.89,8.3,6.42,0.1,100.0,39,39,56,57,0.42,0.61,1.2,1.1,1.2,1.3,1.34,1.326,1.5,1.48,69.5,91.2,70.9,83.6,67.5,69.6,70.0,70.0,54.1,8.1,95.2,52.0,38.0,38.0,42.0,1.08,0.90,Belgium,BE,BEL,56,50.8333,4.0,Europe,6.38,52.0,42.0
15,15,Belize,BLZ,400000,22806,,33.8,33.8,0.708,0.683,48.5,1.5,9.75,2.7,2.8,2.3,2.6,7319.0,7455.0,6166.0,6921.0,2.04,9.75,6.61,6.87,7.29,7.45,7.47,7.14,7.53,8.71,8.71,524.0,286.0,293.4,,36.0,6.5,7.47,8.71,7.47,8.71,0.66,0.15,11.0,8.22,,97.1,36,34,50,53,0.05,0.46,-0.6,-0.5,-0.5,-0.4,-0.96,-0.778,-0.27,-0.3,53.5,70.2,34.7,38.1,57.1,56.6,50.0,50.0,33.9,1.64,2.6,3.2,9.4,9.0,13.0,1.25,1.20,Belize,BZ,BLZ,84,17.25,-88.75,North America,8.71,3.2,13.0
16,16,Benin,BEN,11000000,110622,36.5,13.4,41.4,0.515,0.525,34.5,5.2,6.6,36.3,38.8,40.3,42.9,3236.0,3426.0,3505.0,3789.0,6.7,6.6,3.16,3.17,2.9,3.54,2.93,2.97,3.0,3.0,3.0,84.0,31.1,29.1,52.8,397.0,4.3,2.93,3.0,2.93,3.0,2.79,6.72,1.0,1.57,4.8,41.4,33,17,49,42,0.05,-0.3,-0.6,-0.2,-0.5,-0.4,-0.62,-0.594,-0.55,-0.15,31.3,55.3,30.2,40.3,56.7,61.0,50.0,50.0,21.9,0.62,,,7.2,7.0,8.0,0.56,0.70,Benin,BJ,BEN,204,9.5,2.25,Africa,3.0,,8.0
17,17,Bhutan,BTN,800000,38394,38.8,28.6,36.7,0.612,0.666,47.7,7.7,-10.08,8.6,9.1,8.1,8.1,11620.0,12366.0,11129.0,11129.0,3.06,-10.08,6.04,7.59,6.99,7.23,6.85,5.68,5.68,5.68,5.68,287.0,102.7,116.0,36.1,183.0,5.9,6.85,5.68,6.85,5.68,8.14,3.65,2.4,4.33,,100.0,28,29,27,32,1.13,0.97,0.6,0.8,-0.3,-0.4,0.63,0.636,1.57,1.55,51.6,60.9,50.9,73.5,61.8,59.3,30.0,30.0,30.5,1.38,100.0,100.0,8.5,15.0,17.0,,,Bhutan,BT,BTN,64,27.5,90.5,Asia,5.68,100.0,17.0
18,18,Bolivia,BOL,11000000,1083301,47.0,23.3,45.0,0.693,0.692,44.8,4.8,6.11,98.3,100.4,91.7,97.3,8862.0,9093.0,8283.0,9030.0,4.22,6.11,8.26,8.94,8.85,8.66,8.9,8.9,8.9,8.9,8.9,446.0,235.7,245.9,13.1,155.0,7.3,8.9,8.9,8.9,8.9,6.79,4.9,3.7,8.51,0.9,97.6,28,27,39,39,-0.3,-0.32,-0.4,-0.7,-0.9,-1.2,-1.21,-1.163,-0.66,-0.86,11.4,28.4,23.1,28.7,44.1,43.0,40.0,40.0,42.2,1.94,32.5,35.6,53.1,53.0,46.0,1.54,1.40,"Bolivia, Plurinational State of",BO,BOL,68,-17.0,-65.0,South America,8.9,35.6,46.0
19,19,Bosnia and Herzegovina,BIH,3900000,51187,33.8,25.3,47.8,0.768,0.78,50.2,2.8,7.1,47.8,49.2,47.6,51.0,14918.0,15711.0,15598.0,16846.0,3.74,7.1,,,,,,,,,,1102.0,539.9,553.8,2.2,10.0,,,,,,13.28,13.28,25.8,15.22,,100.0,21,19,34,34,-0.38,-0.38,-0.5,-1.0,-0.2,-0.2,-0.21,-0.279,-0.52,-0.64,43.7,37.2,28.4,33.4,61.4,63.4,60.0,60.0,44.1,6.38,36.7,37.3,21.4,21.0,26.0,0.89,0.90,Bosnia and Herzegovina,BA,BIH,70,44.0,18.0,Europe,,37.3,26.0
